CTQ,xaxis,plot_type,by,outlier,Frame Size,Std Dev Chart,Points Jittered,Show Box Plots,Mean Diamonds,slide_title,plot_title,slide_number,x_coord,y_coord,image_size
ELG_LW,"EXPCODE, LOT",var,,sigma(-3:3),"375, 240",0,1,1,1,ELG,LW,1,75,60,250
ELG_RES,"EXPCODE, LOT",var,,sigma(-3:3),"375, 240",0,1,1,1,ELG,RES,1,350,60,250
ELG_RSH,"EXPCODE, LOT",var,,sigma(-3:3),"375, 240",0,1,1,1,ELG,RSH,1,650,60,250
SNSR_AMHD_PSXSHY,"EXPCODE, LOT",var,,sigma(-3:3),"375, 240",0,1,1,1,AMHD,LW1,2,75,60,225
SNSR_AMHD_PSXSHY_LW2,"EXPCODE, LOT",var,,sigma(-3:3),"375, 240",0,1,1,1,AMHD,LW2,2,400,60,225
SNSR_AMHD_PSXSHY_LW3,"EXPCODE, LOT",var,,sigma(-3:3),"375, 240",0,1,1,1,AMHD,LW3,2,75,300,225
SNSR_AMHD_PSXSHY_LW4,"EXPCODE, LOT",var,,sigma(-3:3),"375, 240",0,1,1,1,AMHD,LW4,2,400,300,225
SNSR_ASYF_PSXSHY,"EXPCODE, LOT",var,,sigma(-3:3),"375, 240",0,1,1,1,ASYF,LW1,3,75,60,225
SNSR_ASYF_PSXSHY_LW2,"EXPCODE, LOT",var,,sigma(-3:3),"375, 240",0,1,1,1,ASYF,LW2,3,400,60,225
SNSR_ASYF_PSXSHY_LW3,"EXPCODE, LOT",var,,sigma(-3:3),"375, 240",0,1,1,1,ASYF,LW3,3,75,300,225
SNSR_ASYF_PSXSHY_LW4,"EXPCODE, LOT",var,,sigma(-3:3),"375, 240",0,1,1,1,ASYF,LW4,3,400,300,225
SNSR_DRRN_500X500Y,"EXPCODE, LOT",var,,sigma(-3:3),"375, 240",0,1,1,1,Large Toolkit DRRN,500X500Y,4,75,60,225
SNSR_DRRN_500X500Y,SNSR_RMIN_500X500Y,biv,,sigma(-3:3),"375, 240",,,,,Large Toolkit DRRN,500X500Y,4,400,60,225
SNSR_RMIN_410C_RWM,"EXPCODE, LOT",var,,sigma(-3:3),"375, 240",0,1,1,1,Large Toolkit RMIN,410C_RWM,5,75,60,250
SNSR_RMIN_410C_STRK,"EXPCODE, LOT",var,,sigma(-3:3),"375, 240",0,1,1,1,Large Toolkit RMIN,410C_STRK,5,350,60,250
SNSR_RMIN_500X500Y,"EXPCODE, LOT",var,,sigma(-3:3),"375, 240",0,1,1,1,Large Toolkit RMIN,500X500Y,5,650,60,250
SNSR_DRRN_PSXSHY,"EXPCODE, LOT",var,,sigma(-3:3),"375, 240",0,1,1,1,DRRN,LW1,6,75,60,225
SNSR_DRRN_PSXSHY_LW2,"EXPCODE, LOT",var,,sigma(-3:3),"375, 240",0,1,1,1,DRRN,LW2,6,400,60,225
SNSR_DRRN_PSXSHY_LW3,"EXPCODE, LOT",var,,sigma(-3:3),"375, 240",0,1,1,1,DRRN,LW3,6,75,300,225
SNSR_DRRN_PSXSHY_LW4,"EXPCODE, LOT",var,,sigma(-3:3),"375, 240",0,1,1,1,DRRN,LW4,6,400,300,225
SNSR_RMIN_PSXSHY,"EXPCODE, LOT",var,,sigma(-3:3),"375, 240",0,1,1,1,RMIN,LW1,7,75,60,225
SNSR_RMIN_PSXSHY_LW2,"EXPCODE, LOT",var,,sigma(-3:3),"375, 240",0,1,1,1,RMIN,LW2,7,400,60,225
SNSR_RMIN_PSXSHY_LW3,"EXPCODE, LOT",var,,sigma(-3:3),"375, 240",0,1,1,1,RMIN,LW3,7,75,300,225
SNSR_RMIN_PSXSHY_LW4,"EXPCODE, LOT",var,,sigma(-3:3),"375, 240",0,1,1,1,RMIN,LW4,7,400,300,225
DRRN_PSXSHY_ALL_LW,RMIN_PSXSHY_ALL_LW,biv,4MF_RW,sigma(-3:3),"375, 240",,,,,DRRN vs RMIN,subgroup,8,,,
